address,speedy
0x0312753d69b71a8baca60fafc2a9f0619100cc4d,882352.9412
0x03144f4af3463d348c7a84a8e08e588c8f97ad53,882352.9412
0x0316196c7d2bc1354723d3fbf445f783d8febe53,882352.9412
0x031752e2110e7f28ed273c84284ac43b961ff640,882352.9412
0x031a08b9dde57396e18aa69fe3280cffc0a23759,882352.9412
0x03208497eae8e43ed18481af039fac883f86b5b4,882352.9412
0x032a10b7ed049f52dc6b06f13b4ef04b3eec09e6,882352.9412
0x03392031780312945831cead8bc5af5cf0dfaeae,882352.9412
0x0339aa327763525bbb25802cbe70fb0e2a866439,882352.9412
0x034a40021689f1afb00c32cc093446ff81fecfa3,882352.9412
0x034d9d7a10798c10ea853dd2b29b9e353f9a54ac,882352.9412
0x0352933c15ff08ae000c0a870275368a75a5c873,882352.9412
0x035a112fd19875320da2840eb1bbbd86ff28a773,882352.9412
0x035ad26fa49f742d69f72d18210344e284648ffb,882352.9412
0x035e79039f1c4c0bd8394658f117ec406cb7fd5c,882352.9412
0x03630eb321ce9497e87d215561b5598438dcd4be,882352.9412
0x036e9547f3a8d24ea4e7fcb47527ddf14f769bff,882352.9412
0x03733fa4caf8703ec6569327b7cf16b3fa55f053,882352.9412
0x037fa7cb1c0aff9dfa19d7840e8ebcd5a8a15cf3,882352.9412
0x03807279b909287732a5d6853f5cf91bdda7f1b0,882352.9412
0x038ba1c635a0777ddc42550083a394e8bff49991,882352.9412
0x03948ba6bc93ae57bc77de18b332aa0b02557198,125000000
0x039fe1d6cb354faaf5fa4d6aef8a12eca309cbcd,882352.9412
0x03a1d812feac4cfc38f80ed582c72c3be3ad1c1f,882352.9412
0x03a3e762c888a7ac91a7be44d611f71788a4c140,882352.9412
0x03a4dd6d36f8c330f1c8f65d98d296a7c42dbb11,882352.9412
0x03abd46667b4ebc7ef767460b181ae8fe59bf850,882352.9412
0x03b51f7bf084c466d9a2645ca2b17b85cdb7c69e,882352.9412
0x03b98ba436686d974ea53acb56c4abbb5a2399d8,882352.9412
0x03b9fe4f1341ec8240f506b57535dcff176ee03d,882352.9412
0x03c72264bf35994718d83627fec84005b1f5cb83,882352.9412
0x03c87a9ad9b334bad608c614872e3cb6b8bb5acb,882352.9412
0x03cd931d1f643816bff4da64a3085c7c979f1324,882352.9412
0x03d508352499305b0a445ed6e934e9b5044b07f7,882352.9412
0x03d721c074bdfe3885efd1b9b3e8ba5c0cac88b7,911545.2042
0x03db2491ceca294dc29678f0d8a40f74dd08cb67,882352.9412
0x03e8f3166573464d2dc7d44cd679310e9d648bed,882352.9412
0x03ee97518003302adec163d3af85cbae0ba258c3,882352.9412
0x03eef517a9342685ad913e60881fbb016aecdf13,882352.9412
0x03f50bb6cd8922fda72d325b205bb04eaf2f002d,882352.9412
0x03fe3387aae4531586a917752ebbc1e7e7c223d9,882352.9412
0x04074f0e4835c6f6a6902f77b613cf664ec45c01,882352.9412
0x041f05c733da3bf514fb77e03932c062ee317846,882352.9412
0x0421f8eee31b567f224b9392d6a3d1fb682a68dc,949500.4012
0x0423b7e14513e8967847da053c099111808ee38e,882352.9412
0x0429b0b9a4909661cf8b6915dd5a4415602944f1,882352.9412
0x04331105de3c88651c3dd8e45d1f68a7cd229e36,882352.9412
0x0439e0f49230d8db4f4134ce402cc332872b1f0a,62500000
0x0443b8b261fae05884d2b8ff9b524c18748bcf4b,882352.9412
0x0444f870db3dcf93153eda89c81acc5e74bf2280,882352.9412
0x04490ec4eac92327d778062347f4149cf4103660,882352.9412
0x044b51a9cfd66be89094e238d3633449a375ce4e,882352.9412
0x04658e7447140ef8dd6805ff2a8e03f0485f7bee,882352.9412
0x0469f3f68eaea9543b8882bf66b18f4813221b21,882352.9412
0x0485ecc491b3d1796b8de701643379bb30bccc76,882352.9412
0x04862295c077160d780bb7e812ee283bff4e094a,882352.9412
0x048715c5a34940df92ea6f4a427d2a545cfdc980,882352.9412
0x049fa0f96533139bbbc8af0adf5de4ad4bdd14d0,882352.9412
0x04ab62b94f46a05642a0e2340757e3a7a575d793,882352.9412
0x04ac0453f2a0e38a8a0482d76e7b9591f1c76d55,882352.9412
